row_id	product_url	product_name	varian	relative_time	reviewer	review_text				
22	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-tab-anegatifnegatif-wifi-kids-pack-4-64-ai-solve-math-parental-control-kids-friendly-negatif73438negatif8687negatif8327789	Samsung Galaxy Tab Anegatifnegatif WiFi Kids Pack [4/64] - AI Solve Math | Parental Control | Kids Friendly	Varian: Kids Pack.	negatif hari lalu	Lili	keren cepat sampai barang okee				
23	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-6-negatif28gb-negatif7322708976negatif865negatifnegatifnegatif7	Samsung Galaxy A07 LTE 6/negatif28GB	Varian: Green	negatif hari lalu	Gilang	mantap sih sesuai deskripsi, dan barang original dan masih tersegel				
24	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Green	negatif hari lalu	B***t	Fisik sesuai harapan hehe, blm dicoba semua fiturnya, semoga aman				
25	https://www.tokopedia.com/samsung-official-store/afdhal-yusman-samsung-galaxy-a07-lte-4-64gb-negatif73227negatif3340068negatif8797	[ Afdhal Yusman ] Samsung Galaxy A07 LTE 4/64GB	Varian: Light Violet	negatif hari lalu	A***t	Maaf baru kasih ulasan ,bagus mulus nyata pokonya				
26	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Black	negatif hari lalu	T***j	Reaaaaal sangat sangat ORI 👍				
27	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Black	negatif hari lalu	B***g	Barangnya ori & masih baru serta bersegel. Terima kasih Kejernihan lensa: Baik Kualitas pengerjaan: Bagus				
28	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a57-5g-negatif2-256gb-awesome-gray-hp-ai-ip68-5000-mah-negatif7349negatif5380negatif0764286negatif	Samsung Galaxy A57 5G negatif2/256GB | Hp AI | IP68 | 5000 mAh	Varian: Aweseome Gray	negatif hari lalu	F***q	Kejernihan lensa: Jernih Nyampe juga akhirnya, pesen 30 may karna lagi diskon gede sayang klo ga beli pasti naik lagi harganya, bener kan sekarang naik lagi hehehe				
29	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a57-5g-negatif2-256gb-awesome-gray-hp-ai-ip68-5000-mah-negatif7349negatif5380negatif0764286negatif	Samsung Galaxy A57 5G negatif2/256GB | Hp AI | IP68 | 5000 mAh	Varian: Aweseome Icyblue	negatif hari lalu	I***z	Bagusss				
30	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Black	negatif hari lalu	Nugroho	barang asli dan masih tersegel dengan baik. terima kasih seller. recommended seller 👍				
31	https://www.tokopedia.com/samsung-official-store/samsung-mesin-cuci-8kg-wa80-top-load-wobble-technology-wa80h4200sw-se-negatif730045negatif7326700745negatif	Samsung Mesin Cuci WA80 Top Load 8kg - WA80H4200SW/SE	Varian: WA80	negatif hari lalu	G***d	Packing aman, barang sempurna				
32	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-anegatif7-8-negatif28gb-smartphone-ai-android-5000-mah-negatif73256766negatif042829293	Samsung Galaxy Anegatif7 [8/negatif28GB] - | Smartphone AI | Android | 5000 mAh	Varian: Gray	negatif hari lalu	T***g	makasih sudah menjadi penjual amanah barang sesuai ga mengecewakan				
33	https://www.tokopedia.com/samsung-official-store/samsung-mesin-cuci-wt85-twin-tub-dengan-dynamic-pulsator-8-5kg-wt85h32negatif0mg-se-negatif729575343040203757	Samsung Mesin Cuci WT85 Twin Tub dengan Dynamic Pulsator 8.5kg - WT85H32negatif0MG/SE	Varian: WT85	negatif hari lalu	N***n	Kualitas pengerjaan: Sangat bagus Kapasitas: 8,5 kilo Desain: Minimalis dan sangat berguna				
34	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-6-negatif28gb-negatif7322708976negatif865negatifnegatifnegatif7	Samsung Galaxy A07 LTE 6/negatif28GB	Varian: Black	negatif hari lalu	N***h	Barangnya oke mulus sampe tujuan Pengemasannya juga bagus rapih sekali				
35	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a37-5g-8-256gb-awesome-charcoal-hp-ai-ip68-5000-mah-negatif7349negatif5343666743277	Samsung Galaxy A37 5G 8/256GB - Awesome Charcoal | Hp AI | IP68 | 5000 mAh	Varian: Awesome Graygreen	negatif hari lalu	D***k	Kejernihan lensa: Baik Kualitas pengerjaan: Baik				
36	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Light Violet	negatif hari lalu	L***k	Paket mendarat dengan aman tampa ada goresan apapun				
37	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-fit3	Samsung Galaxy Fit3 - Smartwatch	Varian: Gray.	negatif hari lalu	E***q	bagus banget				
38	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-tab-anegatifnegatif-wifi-6-negatif28gb-negatif733422negatif547negatifnegatif33694negatif	Samsung Galaxy Tab Anegatifnegatif+ WiFi [6/negatif28GB]	Varian: Wifi.	negatif hari lalu	N***d	Barang sudah di terima				
39	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-6-negatif28gb-negatif7322708976negatif865negatifnegatifnegatif7	Samsung Galaxy A07 LTE 6/negatif28GB	Varian: Light Violet	negatif hari lalu	O***f	pokonya samsung bagus banget barang aman ga ada yang lecet pokonya best banget deh				
40	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-anegatif6-lte-8-negatif28gb-negatif73negatif2negatif8206870636525	Samsung Galaxy Anegatif6 LTE 8/negatif28GB	Varian: Gray.	negatif hari lalu	M***I	tidak dapat charger seperti yang dijanjikan / ditulis di deskripsi. sudah coba chat minta penjelasan juga tidak pernah ada respon setiap hari dibalas oleh template BOT. t...				
41	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a37-5g-8-256gb-awesome-charcoal-hp-ai-ip68-5000-mah-negatif7349negatif5343666743277	Samsung Galaxy A37 5G 8/256GB - Awesome Charcoal | Hp AI | IP68 | 5000 mAh	Varian: Awesome Graygreen	negatif hari lalu	K***y	Semoga awet				
42	https://www.tokopedia.com/samsung-official-store/samsung-43-crystal-uhd-4k-uenegatif00f-4k-smart-tv-ua43uenegatif00fkxxd-negatif733negatif93234776295405			negatif hari lalu	G***o	Kualitas pengerjaan: baguss Kapasitas: baguss Desain: modern				
43	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a57-5g-8-256gb-awesome-gray-hp-ai-ip68-5000-mah-negatif7349negatif5negatif592863negatif9085	Samsung Galaxy A57 5G 8/256GB | Hp AI | IP68 | 5000 mAh	Varian: Aweseome Navy.	negatif hari lalu	Danny	barang sesuai dan asli				
44	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Black	negatif hari lalu	F***x	Hony bgus enteng samsung asli				
45	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Light Violet	negatif hari lalu	C***e	Sesuai pesanan, di terima dengan baik tidak ada kskurangan				
46	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Light Violet	negatif hari lalu	Z***j	Sampai tepat waktu				
47	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a57-5g-8-256gb-awesome-gray-hp-ai-ip68-5000-mah-negatif7349negatif5negatif592863negatif9085	Samsung Galaxy A57 5G 8/256GB | Hp AI | IP68 | 5000 mAh	Varian: Aweseome Navy.	negatif hari lalu	Y***x	Produk bagus mulus dan aman				
48	https://www.tokopedia.com/samsung-official-store/samsung-microwave-oven-solo-20l-ms20a30negatif0al-se	Samsung Microwave Oven Solo, 20L - MS20A30negatif0ALSE	Varian: MS20	negatif hari lalu	A***y	Kualitas pengerjaan: Bagus jd mempermudah kegiatan dapur ibu² Kapasitas: Besar 20L Desain: Elegan				
49	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Light Violet	negatif hari lalu	H***y	bagusss oriii dri store langsung, semoga awettt yaaa 🤲🏻🤲🏻🤲🏻				
50	https://www.tokopedia.com/samsung-official-store/baim-wong-samsung-galaxy-a07-lte-4-64gb-negatif73227negatif466negatif43647725	[ Baim Wong ] Samsung Galaxy A07 LTE 4/64GB	Varian: Green.	2 hari lalu	C***c	Kualitas pengerjaan: Kerja bagus Kejernihan lensa: Baguss				
51	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-negatif28gb-negatif732negatif5977929497negatif885	Samsung Galaxy A07 LTE 4/negatif28GB	Varian: Green.	2 hari lalu	B***y	Mantap mendarat dengan selamat				
52	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a57-5g-8-256gb-awesome-gray-hp-ai-ip68-5000-mah-negatif7349negatif5negatif592863negatif9085	Samsung Galaxy A57 5G 8/256GB | Hp AI | IP68 | 5000 mAh	Varian: Aweseome Icyblue.	2 hari lalu	M***k	rekomendasi				
53	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a57-5g-8-256gb-awesome-gray-hp-ai-ip68-5000-mah-negatif7349negatif5negatif592863negatif9085	Samsung Galaxy A57 5G 8/256GB | Hp AI | IP68 | 5000 mAh	Varian: Aweseome Navy.	2 hari lalu	V***i	rekomendasi				
54	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a26-5g-8-256-galaxy-ai-smartphone-ai-baterai-5000mah-negatif73negatif086965852833755	Samsung Galaxy A26 5G [8/256] - Galaxy AI | Smartphone AI | Baterai 5000mAh	Varian: Light Green	2 hari lalu	D***s	Bagus, ori, trusted				
55	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-negatif28gb-negatif732negatif5977929497negatif885	Samsung Galaxy A07 LTE 4/negatif28GB	Varian: Black.	2 hari lalu	P***u	Terimakasih,paket diterima dalam kondisi sangat aman dan sesuai dgn yang dipesan,amanah dan sangat menjaga kwalitas barang dan pengirimannya,mantaaap pokoknya,kami puas �...				
56	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a57-5g-negatif2-256gb-awesome-gray-hp-ai-ip68-5000-mah-negatif7349negatif5380negatif0764286negatif	Samsung Galaxy A57 5G negatif2/256GB | Hp AI | IP68 | 5000 mAh	Varian: Aweseome Navy	2 hari lalu	O***j	Barang sesuai, tapi belum di coba semoga awet 🙏				
57	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-negatif28gb-negatif732negatif5977929497negatif885	Samsung Galaxy A07 LTE 4/negatif28GB	Varian: Black.	2 hari lalu	D***g	Pengiriman aman dan paket sampai ke NTT dgn baik tanpa lecet				
58	https://www.tokopedia.com/samsung-official-store/samsung-mesin-cuci-wt85-twin-tub-dengan-dynamic-pulsator-8-5kg-wt85h32negatif0mg-se-negatif729575343040203757	Samsung Mesin Cuci WT85 Twin Tub dengan Dynamic Pulsator 8.5kg - WT85H32negatif0MG/SE	Varian: WT85	2 hari lalu	J***y	Kualitas pengerjaan: Baik Kapasitas: Gede muat banyak Desain: Bagus				
59	https://www.tokopedia.com/samsung-official-store/samsung-mesin-cuci-9kg-top-loading-wobble-technology-wa90h4200sg-se-negatif73038240negatif3negatif8negatif93negatifnegatif5			2 hari lalu	C***c	Kapasitas: Oke				
60	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a57-5g-negatif2-256gb-awesome-gray-hp-ai-ip68-5000-mah-negatif7349negatif5380negatif0764286negatif	Samsung Galaxy A57 5G negatif2/256GB | Hp AI | IP68 | 5000 mAh	Varian: Aweseome Icyblue	2 hari lalu	W***g	Kejernihan lensa: Mantap				
61	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Black	2 hari lalu	T***a	hpnya bagus				
62	https://www.tokopedia.com/samsung-official-store/afdhal-yusman-samsung-galaxy-a07-lte-4-64gb-negatif73227negatif3340068negatif8797	[ Afdhal Yusman ] Samsung Galaxy A07 LTE 4/64GB	Varian: Light Violet	2 hari lalu	T***p	Berfungsi dgn baik ,layar jernih, kamera standar harga lumayan buat samsung harga segitu				
63	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Light Violet	2 hari lalu	M***x	Sesuai				
64	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Black	2 hari lalu	E***u	kurir IDexpress parah banget ya allah.. konfirmasi foto doang.. mana paket saya di taruh di depan rumah orang lagi.. untung tetangga depan rumah.. kok gak tanya dulu ke o...				
65	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Black	2 hari lalu	R***p	Sangat puas pesan disini.brg asli pooll...senang bgt.semoga jd langganan terus disini				
66	https://www.tokopedia.com/samsung-official-store/samsung-air-conditioner-neo-alpha-inverter-negatif-2pk-ar40f-ar40f05d0amnse-indoor-negatif734463negatif824negatifnegatif237357	Samsung AC negatif/2PK AR40F Neo Alpha Inverter - AR40F05D0AMNSE	Varian: AR40F	2 hari lalu	D***l	Kualitas pengerjaan: Bagus Kapasitas: Buat kamar 3×3 cukup banget Desain: Moderen, suka pokoknya				
67	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-negatif28gb-negatif732negatif5977929497negatif885	Samsung Galaxy A07 LTE 4/negatif28GB	Varian: Green.	2 hari lalu	C***g	Kejernihan lensa: Jernih, jelas Suka sekali Terima kasih, barang mendarat tanpa cacat. Pokoknya suka benget.				
68	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Black	2 hari lalu	D***j	Mantap				
69	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-anegatif7-8-256gb-smartphone-ai-android-5000-mah-negatif732550343negatif332024negatif3	Samsung Galaxy Anegatif7 [8/256GB] - | Smartphone AI | Android | 5000 mAh	Varian: Light Blue.	2 hari lalu	K***z	Sesuai dengan pesanan				
70	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Green	3 hari lalu	Z***h	Kejernihan lensa: jernih dan bagus sekali Kualitas pengerjaan: sangat rapi detil sesuai dengan nama besar brand nya recommended seller recommended produk a07 terimakasih...				
71	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a57-5g-negatif2-256gb-awesome-gray-hp-ai-ip68-5000-mah-negatif7349negatif5380negatif0764286negatif	Samsung Galaxy A57 5G negatif2/256GB | Hp AI | IP68 | 5000 mAh	Varian: Aweseome Icyblue	3 hari lalu	E***w	Okelah				
72	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-fit3	Samsung Galaxy Fit3 - Smartwatch	Varian: Silver.	3 hari lalu	M***a	jamnya bagus bangett, pengiriman cepat. thx seller				
73	https://www.tokopedia.com/samsung-official-store/samsung-mesin-cuci-twin-tub-9-5kg-wt95-dengan-dynamic-pulsator-wt95h3330mb-se-negatif7299082608853995negatif5	Samsung Mesin Cuci WT95 Twin Tub dengan Dynamic Pulsator 9.5kg - WT95H3330MB/SE	Varian: WT95.	3 hari lalu	O***i	Kapasitas: Besar Desain: Futuristik banget Mesin cuci 2 tabung yang kerasa modern banget				
74	https://www.tokopedia.com/samsung-official-store/samsung-air-conditioner-neo-alpha-inverter-negatif-2pk-ar40f-ar40f05d0amnse-indoor-negatif734463negatif824negatifnegatif237357	Samsung AC negatif/2PK AR40F Neo Alpha Inverter - AR40F05D0AMNSE	Varian: AR40F	3 hari lalu	Q***w	Barangnya bagus sesuai pesanan pengiriman sangat cepat harga bersaing mantap				
75	https://www.tokopedia.com/samsung-official-store/samsung-mesin-cuci-wt85-twin-tub-dengan-dynamic-pulsator-8-5kg-wt85h32negatif0mg-se-negatif729575343040203757	Samsung Mesin Cuci WT85 Twin Tub dengan Dynamic Pulsator 8.5kg - WT85H32negatif0MG/SE	Varian: WT85	3 hari lalu	M***i	Barangnya bagus sesuai pesanan pengiriman sangat cepat harga bersaing mantap				
76	https://www.tokopedia.com/samsung-official-store/samsung-mesin-cuci-8kg-wa80-top-load-wobble-technology-wa80h4200sw-se-negatif730045negatif7326700745negatif	Samsung Mesin Cuci WA80 Top Load 8kg - WA80H4200SW/SE	Varian: WA80	3 hari lalu	C***f	Barangnya bagus sesuai pesanan pengiriman sangat cepat harga bersaing mantap				
77	https://www.tokopedia.com/samsung-official-store/samsung-mesin-cuci-8kg-wa80-top-load-wobble-technology-wa80h4200sw-se-negatif730045negatif7326700745negatif	Samsung Mesin Cuci WA80 Top Load 8kg - WA80H4200SW/SE	Varian: WA80	3 hari lalu	R***r	Barangnya bagus sesuai pesanan pengiriman sangat cepat harga bersaing mantap				
78	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Black	3 hari lalu	T***r	Mantap				
79	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Black	3 hari lalu	Eko	Diterima dengan keadaan baik.				
80	https://www.tokopedia.com/samsung-official-store/afdhal-yusman-samsung-galaxy-a07-lte-4-64gb-negatif73227negatif3340068negatif8797	[ Afdhal Yusman ] Samsung Galaxy A07 LTE 4/64GB	Varian: Light Violet	3 hari lalu	G***e	Sesuai no tipu tipu				
81	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a57-5g-negatif2-256gb-awesome-gray-hp-ai-ip68-5000-mah-negatif7349negatif5380negatif0764286negatif	Samsung Galaxy A57 5G negatif2/256GB | Hp AI | IP68 | 5000 mAh	Varian: Aweseome Lilac	3 hari lalu	X***s	Kejernihan lensa: Jernihh Kualitas pengerjaan: Bagus				
82	https://www.tokopedia.com/samsung-official-store/samsung-mesin-cuci-wt85-twin-tub-dengan-dynamic-pulsator-8-5kg-wt85h32negatif0mg-se-negatif729575343040203757	Samsung Mesin Cuci WT85 Twin Tub dengan Dynamic Pulsator 8.5kg - WT85H32negatif0MG/SE	Varian: WT85	3 hari lalu	W***r	Performa: Oke				
83	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-negatif28gb-negatif732negatif5977929497negatif885	Samsung Galaxy A07 LTE 4/negatif28GB	Varian: Light Violet.	3 hari lalu	J***k	Mantap pengiriman cepat barang sesuai amanah				
84	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-a07-lte-4-64gb-negatif732negatif596749585negatif4negatif57	Samsung Galaxy A07 LTE 4/64GB	Varian: Black	3 hari lalu	O***u	Worth it untuk harga segini				
85	https://www.tokopedia.com/samsung-official-store/afdhal-yusman-samsung-galaxy-a07-lte-4-64gb-negatif73227negatif3340068negatif8797	[ Afdhal Yusman ] Samsung Galaxy A07 LTE 4/64GB	Varian: Light Violet	3 hari lalu	A***l	Amanah memang ga perna nipu, bagus HP nya ,nyampe aman				
86	https://www.tokopedia.com/samsung-official-store/samsung-galaxy-anegatif6-lte-8-negatif28gb-negatif73negatif2negatif8206870636525	Samsung Galaxy Anegatif6 LTE 8/negatif28GB	Varian: Black.	3 hari lalu	S***w	Barang sudah sampai,aman				
